Sno.,first_name,last_name,email,phone_number,score,questions_attempted,correct_ans,wrong_ans
1,521853,15238,1623@2738117,12382,0,0,0,0
2,715387,132872,172T3@23121,123123,0,0,0,0
3,7825,72538,2658@75238,652382,-3,3,1,2
4,hafdjf,dfauwyfd,2auyfduw@dajwv,3582,0,0,0,0
5,abhik,setia,abhiksetia@gmail.com,0895022773,0,0,0,0
6,kjagwdkjwa,adwkawd,ahwdk@kjdgakjw,25381253,0,0,0,0
7,ajgwdjkaw,ajkwdjkwa,ajwdvjh@dkajwbk,213312,0,0,0,0
8,agwdwad,gawkdwg,awdgjgk@dgkqjwgk,54434684,0,0,0,0
9,awgdi,awudyaw,awgjgda@gdakwg,53426584,0,0,0,0
10,jagdkwjgka,dawdgwad,dwagK@DKAWG,8743513874,0,0,0,0
11,adkjwdj,avkjwdbkaw,gaiwdgi@jfawk,8713458712,5,1,1,0
12,jawkjwbdk,sefvhsefkjes,hgadjwgj@dkagwdkj,782138712,0,0,0,0
13,AJWDGKAWU,DAGKwdg,kawdg@Kgdak,689683,5,1,1,0
14,ajkwgdkwd,jfakjwkj,KJFAKJGWK#@KDGAK,35,0,0,0,0
15,hello,world,sjadgsu@gdakwjg,37458372,0,0,0,0
